ID_Angajat,Nume,Functie,Ora_Inceput_Tura,Ora_Sfarsit_Tura,Ora_Pauza
1,Popescu Andrei,Ospatar,8:00,14:00,11:00
2,Ionescu Maria,Barista,9:00,17:00,12:00
3,Vasilescu Adrian,Manager,10:00,18:00,13:00
4,Dumitrescu Ioana,Barista,14:00,20:00,17:00
5,Constantin Elena,Barista,15:00,22:00,19:00
6,Marin Gabriel,Ospatar,7:00,13:00,10:00
7,Radu Alexandru,Manager,9:30,18:00,13:30
8,Ciobanu Ana,Barista,12:00,19:00,15:00
9,Petrescu Daniel,Ospatar,16:00,22:00,18:00
10,Lungu Alina,Ospatar,13:00,20:00,16:00
